uid,start,end,all_day,venue,doors,showtime,live_start,live_end,meet_start,meet_end,summary,location,description,status,recurrence,last_modified
2l7kpfok8o4n8uipouet57utak@google.com,2025-12-25,2025-12-25,yes,下北沢4会場周遊フェス,16:30,16:45,18:45,19:10,19:35,20:35,【イベント】INFINITY LIVE presents 『ASTROFES 2025 - Xmas Circuit - 』,,"12月25日(木)@ 下北沢4会場周遊フェス
INFINITY LIVE presents
『ASTROFES 2025 - Xmas Circuit - 』
開場 16:30/  開演 16:45
チケット 前売3,400円 当日 4,300円(各+1D)
※特典会：クリスマス仮装
※リストバンド交換はMOSAiCにて16:00〜開始予定

ライブ 18:45~19:10(Flowers Loft)
特典会 19:35~20:35(BRONX STUDIO C)

■チケット販売サイト
https://t.livepocket.jp/e/20251225_xmas
※チケット発売：11/21(金）21:00先着",CONFIRMED,,20251224T073232Z
511ekjeq9qv2jgv1k1uck0e4fs@google.com,2025-12-27,2025-12-27,yes,,,,,,,,(メディア)『TopYellNEO2025~2026』発売,,,CONFIRMED,,20260404T232509Z
4ogp5lilimf7qgf79pm29nkts4@google.com,2025-12-28,2025-12-28,yes,DESEO mini with VILLAGE VANGUARD,10:30,11:15,,,,,【イベント】「LEADING PREMIUM 年末感謝祭'25」,,"12月28日(日)@ 渋谷周辺ライブハウス
「LEADING PREMIUM 年末感謝祭'25」
開場 10:30/  開演 11:15
チケット
・優先エリアチケット 12,000円
・一般チケット 6,500円
・当日チケット 7,500円
※優先エリアはO-EASTのみ

■チケット販売サイト
https://ticketvillage.jp/events/13604
※チケット発売：11/27(木）20:00先着",CONFIRMED,,20251127T110050Z
6af9jc7mtslvh66ud80irfr95l@google.com,2025-12-29,2025-12-29,yes,YOANI LIVE STATION,11:30,11:45,,,,,【イベント】『有田祭〜年末スペシャル〜』,,"12月29日(月)@ YOANI LIVE STATION
『有田祭〜年末スペシャル〜』
開場 11:30 / 開演 11:45
チケット 前方4,000円 一般 2,000円 当日 +¥500(各+1D)
出演 Layn / IBERIs& / il pleut / さとりモンスター / 『TryVII』/ Drawry. / vividbird / メリーパレード / MeliS / ponderosa may bloom / youmenosay / Loulouchouchou / ROY Limited GIRLFRIEND

■チケット販売サイト
https://t-dv.com/aritamavol_19
※チケット発売：12/3(水)22:00先着",CONFIRMED,,20251202T130202Z
76jjdl3suu0ld2v6g5s954igd1@google.com,2025-12-30,2025-12-30,yes,大塚Hearts+,16:30,17:00,,,,,【イベント】日ノ目企画presents“TUESDAYFLIGHT”,,"12月30日(火)@ 大塚Hearts+
日ノ目企画presents“TUESDAYFLIGHT”
開場 16:30/ 開演 17:00
チケット 前売 2,800円 当日 3,300円(各+1D)
出演 AQ / 開歌-かいか- / 水槽とクレマチス / スパンコールグッドタイムズ / Drawry. / PANDAMIC / vividbird / MIC RAW RUGA

■チケット販売サイト
https://t.livepocket.jp/e/hnm1230ohp
※チケット発売：11/28(金)21:00先着",CONFIRMED,,20251128T100035Z
4ku1go9r7pvtv573ro2c90tkpq@google.com,2025-12-31,2025-12-31,yes,下北沢シャングリラ,11:00,11:30,,,,,【イベント】『NEW AGE 2025 FINAL COUNTDOWN』,,"12月31日(水)@ 下北沢シャングリラ
『NEW AGE 2025 FINAL COUNTDOWN』
開場 11:00 / 開演 11:30
チケット 早割3,400円 一般 3,900円 当日 4,500円(各+1D)
出演 さとりモンスター / SOMOSOMO / yumegiwa last girl / われらがプワプワプーワプワ / パピプペポは難しい / HOTALOOP / ROY Limited GIRLFRIEND / 猫の眼に宇宙 / 棘-おどろ- / YOTAKA / may in film / il pleut
 / メルクマールメルマール / PUREMORPH / 会心ノ一撃 / 雨模様のソラリス / Drawry.
※再入場自由

■チケット販売サイト
https://t-dv.com/newage2025finalcountdown
※チケット発売：11/29(土)21:00先着",CONFIRMED,,20251129T032843Z
6fceesfbk9mqoc691bjnbnolv2@google.com,2026-01-01,2026-01-02,yes,,,,,,,,ライブ予定なし,,,CONFIRMED,,20260404T232509Z
3vt395rm7pfuhtjb1sl6po7uqk@google.com,2026-01-03,2026-01-03,yes,Spotify O-WEST,09:00,09:30,09:55,10:20,10:40,12:00,【イベント】「アイドル甲子園 in Spotify O-WEST」-DAY2-,,"新年一発目のライブとなります！
Drawry.からお年玉として、お目当てでご入場いただき特典会の際にチケットご提示で「10秒動画」1枚をお渡しいたします。
※ご利用は当日中となります。

2026年1月3日(土)@ Spotify O-WEST
「アイドル甲子園 in Spotify O-WEST」-DAY2-
開場 9:00 / 開演 9:30
チケット 前売 4,000円 当日 5,000円(各+1D)
※アルコール提供なし
※再入場可（再入場の際に追加ドリンク代なし）

ライブ 9:55~10:20
特典会 10:40~12:00

■チケット販売サイト
https://livepocket.jp/e/aikou_0103w",CONFIRMED,,20251230T013815Z
2ji18l0gcje4a22fnm8qo93599@google.com,2026-01-04,2026-01-04,yes,Spotify O-nest,09:00,09:30,13:00,13:25,13:55,15:05,【イベント】「アイドル甲子園 in Spotify O-nest」 -DAY3-,,"Drawry.からお年玉として、お目当てでご入場いただき特典会の際にチケットご提示で「写メ券」1枚をお渡しいたします。
※ご利用は当日中となります。

2026年1月4日(日)@ Spotify O-nest
「アイドル甲子園 in Spotify O-nest」 -DAY3-
開場 9:00 / 開演 9:30
チケット 前売 4,000円 当日 5,000円(各+1D)
※アルコール提供なし
※再入場可（再入場の際に追加ドリンク代なし）

ライブ 13:00~13:25
特典会 13:55~15:05

■チケット販売サイト
https://livepocket.jp/e/aikou_0104n",CONFIRMED,,20251230T013851Z
57j0rohk6n0tpq7l95pcjh1tub@google.com,2026-01-07,2026-01-07,yes,新宿MARZ,18:30,19:00,19:30,20:00,21:10,22:20,【イベント】SOVA presents 「Owl Nest10」,,"1月7日(水)@ 新宿MARZ
SOVA presents 「Owl Nest10」
開場 18:30 / 開演 19:00
チケット 前売り 3,000円 当日 3,500円(各+1D)
出演 RAY / airattic / ponderosa may bloom / Drawry.

・SOVAおみくじ2026
1回500円・1会計4枚まで
おみくじ2枚同時購入でメンバーランダムで写メ券（トークあり）がつきます。

ライブ 19:30~20:00
コラボ 21:00~21:10
特典会 21:10~22:20

■チケット販売サイト
https://livepocket.jp/e/owl_nest10
※チケット発売：12/3(水)21:30先着",CONFIRMED,,20251230T015117Z
1ub9j9mbgv7c714qm402np7rov@google.com,2026-01-09,2026-01-09,yes,新宿MARZ,18:30,19:00,19:30,20:00,21:00,22:00,【イベント】UNIVERSE企画『NEW ORDER新春SP #無銭NIGHT』,,"2026年1月9日(金)@ 新宿MARZ
UNIVERSE企画『NEW ORDER新春SP #無銭NIGHT』
開場 18:30/ 開演 19:00
チケット 前売0円 当日 1,000円(各+2D)
出演 Untitled / Drawry. / YOUR ADVISORY BOARD / RETRORAIN

ライブ 19:30~20:00
特典会 21:00~22:00

■チケット販売サイト
https://livepocket.jp/e/m48xo
※チケット発売：12/22(月)22:00先着",CONFIRMED,,20251230T015210Z
1fn2a7nv7qkr9mr20c4so5o8tu@google.com,2026-01-11,2026-01-11,yes,下北沢MOSAiC,11:10,11:30,,,,,【イベント】Drawry.主催イベント「雪城とうか生誕」,,"2026年1月11日(日)@ 下北沢MOSAiC
Drawry.主催イベント「雪城とうか生誕」
開場 11:10/ 開演 11:30
チケット 前売2,500円 当日 3,000円(各+1D)
出演 Drawry. / XOXO EXTREME / 雪城とうか

■チケット販売サイト
https://livepocket.jp/e/sevtu
※チケット発売：12/11(木)22:00先着",CONFIRMED,,20251210T101407Z
5lmsml6of0o9g0gnv20ht5vare@google.com,2026-01-12,2026-01-12,yes,DESEO mini with VILLAGE VANGUARD,16:40,16:55,18:35,19:00,19:40,20:40,【イベント】『TOKYO BEATREC』,,"2026年1月12日(月・祝)@ DESEO mini with VILLAGE VANGUARD
『TOKYO BEATREC』
開場 16:40 / 開演 16:55
チケット 前売り 2,800円 当日 3,800円(各+1D)
出演 Untitled/EMPATHY/Question.VI/じゅじゅ/シンダーエラ /vividbird/Drawry./どーぴんぐ疑惑

ライブ 18:35~19:00
特典会 19:40~20:40(並行物販A)

■チケット販売サイト
https://ticketvillage.jp/events/13642",CONFIRMED,,20260105T111613Z
4iiq574jh356jlrraj62jtmhm6@google.com,2026-01-13,2026-01-13,yes,下北沢MOSAiC,19:00,19:30,,,,,【小宵めみソロイベント】「めみちゃんが歌います！」,,"2026年1月13日(火)@ 下北沢MOSAiC
「めみちゃんが歌います！」
開場 19:00/ 開演 19:30
チケット 前売2,500円 当日 3,000円(各+1D)
※小宵めみ ソロでの弾き語りイベントとなります。
※前方のみ椅子がございます。椅子が埋まり次第、立ち見でのご案内となります。

■チケット販売サイト
https://livepocket.jp/e/5_uw8
※チケット発売：11/25(火）22:00先着
※新LivePocketでの販売です。アカウント移行手続きが必要になりますのでご注意ください。",CONFIRMED,,20251124T032945Z
36toor94ufqefi5gjhu0teg6bh@google.com,2026-01-15,2026-01-15,yes,DESEO mini,18:30,19:00,19:00,19:25,20:30,21:30,【イベント】「OBORO」,,"1月15日(木)@ DESEO mini
「OBORO」
開場 18:30 / 開演 19:00
チケット 前売 2,000円 当日 3,000円(各+1D)
出演 YOTAKA / Drawry. / 月刊PAM

ライブ 19:00~19:25
特典会 20:30~21:30

■チケット販売サイト
https://livepocket.jp/e/n05y7
※チケット販売：12/30(火)21:00先着",CONFIRMED,,20251230T021456Z
2p4eh0t8sft8sj56tgc58md205@google.com,2026-01-17,2026-01-17,yes,渋谷Spotify O-Crest,10:30,11:00,11:55,12:20,12:25,13:30,【イベント】『NEW AGE EMO MUGEN 』,,"1月17日(土)@ 渋谷Spotify O-Crest
『NEW AGE EMO MUGEN 』
開場 10:30/ 開演 11:00
チケット 前売2,800円 当日 3,500円(各+1D)
出演 さとりモンスター / さよならステイチューン / diig / アストレイル / AFTERS / YOTAKA / Drawry. / BABYTANTS / ROY Limited GIRLFRIEND

ライブ 11:55~12:20
特典会 12:25~13:30(並行特典会)

■チケット販売サイト
https://t-dv.com/newageemomugen0117d
※チケット発売：1/7(水)22:00先着",CONFIRMED,,20260117T022958Z
57lhuo37r0d3lr1g4ri673idr8@google.com,2026-01-18,2026-01-18,yes,大塚Hearts Next,10:40,11:00,11:50,12:15,13:35,14:35,【イベント】日ノ目企画presents“Fill In Your Blanks”,,"1月18日(日)@ 大塚Hearts Next
日ノ目企画presents“Fill In Your Blanks”
開場 10:40 / 開演 11:00
チケット 前売り 2,500円 当日 3,100円(各+1D)
出演 AVACLUB / キキレイレイ / GREAT MONKEYS / セツナフロート / Drawry. / Buddha TOKYO / ponderosa may bloom / may in film

ライブ 11:50~12:15
特典会 13:35~14:35(並行物販)

■チケット販売サイト
https://livepocket.jp/e/hnm0118ohnday
※チケット発売：12/10(水)21:00先着",CONFIRMED,,20251230T021655Z
19ib1bj5e4ikh6ufvtccn8ggkv@google.com,2026-01-23,2026-01-23,yes,京都ROKA,18:00,18:20,18:45,19:10,21:05,22:05,【関西遠征イベント】日ノ目企画presents“GOLDENEYE“,,"都月ゆめが急遽学業の都合により、ライブの出演時間に間に合わない状況となりました。ライブは他3名での出演となり、都月ゆめは特典会のみ参加予定です。

2026年1月23日(金)@ 京都ROKA
日ノ目企画presents“GOLDENEYE“
開場 18:00/ 開演 18:20
チケット 前売2,500円 当日 3,100円(各+1D)
出演 AFTERS / AQ / ENVY PARANOID / Drawry. / 鳴ル神 / husky

ライブ 18:45~19:10
特典会 21:05~22:05

■チケット販売サイト
https://livepocket.jp/e/hnm0123ge
※チケット発売：12/23(火)19:00先着",CONFIRMED,,20260108T111526Z
6hejs598b1juq1nj5jtdr0srp2@google.com,2026-01-24,2026-01-24,yes,THE LIVE HOUSE soma(大阪・心斎橋),12:00,12:30,13:00,13:28,15:40,16:40,【イベント】こぐまカリーPresents「BEAR CUB CLUB」,,"1月24日(土)@ THE LIVE HOUSE soma(大阪・心斎橋)
こぐまカリーPresents「BEAR CUB CLUB」
開場 12:00/ 開演 12:30
チケット 前売2,500円 当日 3,000円(各+1D)
出演 文坂なの、くぴぽ、cleomery、始発待ちアンダーグラウンド、スワンスワンズ、Drawry.

ライブ 13:00~13:28
特典会 15:40~16:40

■チケット販売サイト
https://livepocket.jp/e/kc_260124
※チケット発売：1/6(火)22:00先着",CONFIRMED,,20260119T093404Z
2ru5ag0eb6benrqj5f9lfsr2h0@google.com,2026-01-24,2026-01-24,yes,心斎橋周辺,,,,,,,【オフ会】『大阪ご飯オフ会』,,"1月24日(土)@ 心斎橋周辺
『大阪ご飯オフ会』
集合・受付 17:50 / 開始 18:00 / 終了 20:00
料金 ¥9,500(飲食・ジュース飲み放題付き(1杯のみお酒注文可)
特典 2ショット写メ撮影券1枚
※時間は予定となります。昼イベントのタイムテーブルに変更が出た場合は前後する可能性がございます。また、詳細はチケット購入者へメールでお知らせとなります。注意事項などはチケットサイトをご確認ください。

■チケット販売サイト
https://livepocket.jp/e/s1bwl
受付：1/11(日)21:00~1/22(木)15:00まで",CONFIRMED,,20260110T130057Z
2vsarhr3gogcmqvephn76cjvoo@google.com,2026-01-25,2026-01-25,yes,心斎橋SUNHALL(大阪),10:30,11:00,13:05,13:28,14:55,16:05,【イベント】こぐまカリーPresents「Mash UP!」,,"1月25日(日)@ 心斎橋SUNHALL(大阪)
こぐまカリーPresents「Mash UP!」
開場 10:30/ 開演 11:00
チケット 前売 3,000円 当日 3,500円(各+1D)
出演 IQ99、AFTERS、いつかの夜に僕たちが、、丑03-USHIMITSU-、AQ、感情線は時をこえて、くぴぽ 、cleomery、Cosmoslay、始発待ちアンダーグラウンド、すーぱーぷーばぁー!!、0番線と夜明け前、ティラミス、Drawry.、NiL、+Alpha、WT☆Egret、LØISLOID

ライブ 13:05~13:28
特典会 14:55 ~16:05

■チケット販売サイト
 https://livepocket.jp/e/kc_260125
※チケット発売：1/14(水)22:00先着",CONFIRMED,,20260119T103100Z
2rgv7j5m5n87ctdg4phvb98uu0@google.com,2026-01-27,2026-01-27,yes,新宿周辺ライブハウス,10:00,10:30,11:40,12:00,12:15,13:15,【イベント】『UTAGE FES Vol.4』,,"1月27日(火)@ 新宿周辺ライブハウス
『UTAGE FES Vol.4』
開場 10:00 / 開演 10:30
チケット 前売 VIP 10,000円 (Tシャツ付) / 一般 2,500円

ライブ 11:40~12:00(Marble)
特典会 12:15~13:15(SHINJUKU ACE 2F)

■チケット販売サイト
https://t-dv.com/0127_UTAGEFES",CONFIRMED,,20260122T113733Z
3teje1p32kf9s2k263v6frte4b@google.com,2026-02-01,2026-02-01,yes,銀座BASE GRANBELL,11:30,12:00,13:40,14:05,14:20,15:20,【イベント】「IDOL☆STAR -LIGHT- Vol.24」,,"2月1日(日)@ 銀座BASE GRANBELL
「IDOL☆STAR -LIGHT- Vol.24」
開場 11:30/ 開演 12:00
チケット VIP:6000円 一般:3000円 当日券:各種+1000円(全種1d)
出演 STU48 / Task have Fun / BELLRING少女ハート / Luce Twinkle Wink☆ / FOKALITE / Ange☆Reve / サクヤコノハナ / NUANCE / I to U $CREAMing!! / yumegiwa last girl / GANDEMIC / YA'ABURNEE / .BPM / I'mew（あいみゅう） / ギガLOVEアップビート / Drawry.
※VIPチケットをお持ちの方は一般エリアでも観覧可能

ライブ 13:40~14:05
特典会 14:20~15:20

#アイドルスター

■チケット販売サイト
https://livepocket.jp/e/yomrk
※チケット発売：1/15(木)22:00先着",CONFIRMED,,20260115T110544Z
31v6ddfp7054c1tun35daca8v5@google.com,2026-02-05,2026-02-05,yes,CHELSEA HOTEL,18:40,19:00,19:30,20:00,21:00,22:00,【イベント】#ﾆｷﾌﾟﾚ『シキサイ。』,,"2月5日(木)@ CHELSEA HOTEL
#ﾆｷﾌﾟﾚ『シキサイ。』
開場 18:40 / 開演 19:00
チケット 前売 2,800円 当日 3,300円(各+1D)
出演 Drawry. / Layn / vividbird / yumegiwa last girl

ライブ 19:30~20:00
特典会 21:00~22:00

■チケット販売サイト
https://livepocket.jp/e/20260205_nikipre
※チケット販売：12/30(火)22:00先着",CONFIRMED,,20251230T094549Z
00oaj2hqh984qel1pgqg4m2pqd@google.com,2026-02-07,2026-02-07,yes,青山RizM,16:40,17:00,18:15,18:40,20:25,21:25,【イベント】『TOKYO BEATREC』,,"2月7日(土)@ 青山RizM
『TOKYO BEATREC』
開場 16:40/ 開演 17:00
チケット 前売2,800円 当日 3,800円(各+1D)
出演 開歌-かいか-/SAZANAMi Λug. /Drawry./NUANCE/PASTEL RADIO/may in film/YUGUREMI /YOTAKA

ライブ 18:15~18:40
特典会 20:25~21:25

■チケット販売サイト
https://ticketvillage.jp/events/13661
※チケット発売：1/13(火)22:00先着",CONFIRMED,,20260119T104333Z
4pe39gbohv2vclor0mo1bdven4@google.com,2026-02-11,2026-02-11,yes,下北沢MOSAiC,11:00,11:15,13:05,13:30,14:50,15:50,【イベント】INFINITY LIVE presents『WHITEDAYS』,,"2月11日(水・祝)@ 下北沢MOSAiC
INFINITY LIVE presents『WHITEDAYS』
開場 11:00/ 開演 11:15
チケット 優先3,100円 前売2,500円 当日 3,200円(各+1D)
出演 YOUR ADVISORY BOARD / Drawry. / ミライズ / HATENO / 夢みるアドレセンス / キキレイレイ / Layn

ライブ 13:05~13:30
特典会 14:50~15:50

■チケット販売サイト
https://t-dv.com/20260211_day
※チケット発売：1/26(月)20:00先着",CONFIRMED,,20260204T090601Z
6cpg54805tv8684pe3cus5fvgi@google.com,2026-02-14,2026-02-14,yes,白金高輪SELENEb2,10:00,10:15,,,,,【イベント】『new story』,,"2月14日(土)@ 白金高輪SELENEb2
『new story』
開場 10:00/ 開演 10:15
チケット 前方エリアチケット 6,000円 一般 3,000円(各+1D)
入場者特典：DECOチョコ
※入場の際に「Drawry.」お目当てで入場いただき、物販の際にスタッフまでお声がけください。
特典会：バレンタインコスプレ

出演 iRiNE / AZ-ON / アストレイル / UNBS / 美味しい曖昧 / オブセス / KAMAITACI / 月刊PAM / CHEMICAL X / 高貴な絶対零度 / KOURiN / CoTei / SHURi / XILUX / シンダーエラ / 月に足跡を残した少女達は一体何を見たのか… / Drawry. / 鳴ル神 / buGG / HATENO / vividbird / Payrin's / ponderosa may bloom / Malcolm Mask McLaren / MiiS / may in film / yumegiwa last girl

■チケット販売サイト
https://livepocket.jp/e/9k8s0",CONFIRMED,,20260213T120148Z
02ofra8f0vn4ggj2p3j2j8rdah@google.com,2026-02-15,2026-02-15,yes,恵比寿CreAto,10:15,10:30,11:45,12:10,13:55,14:55,【イベント】「ソノウチ」,,"2月15日(日)@ 恵比寿CreAto
「ソノウチ」
開場 10:15/ 開演 10:30
チケット 前売2,400円 当日 3,300円(各+1D)
出演 AVACLUB / Untitled / ごいっぷる / Drawry. / PANDAMIC / MARUKADO / 室田瑞希 / YUGUREMI

ライブ 11:45~12:10
特典会 13:55~14:55(終演後特典会)

■チケット販売サイト
https://t-dv.com/260215sonouti
※チケット発売：1/8(木)22:00先着",CONFIRMED,,20260213T040622Z
15j1rs1qsrf3s4t4ikabk1vtg6@google.com,2026-02-17,2026-02-17,yes,Flowers LOFT,18:00,18:30,18:30,18:55,19:00,20:00,【イベント】「アイドルわくくんDAYO! おさんぽ編」,,"2月17日(火)@ Flowers LOFT
「アイドルわくくんDAYO! おさんぽ編」
開場 18:00/ 開演 18:30
チケット 前売2,000円 当日 2,600円(各+1D)
出演 Drawry. / 猫の眼に宇宙 / ROY Limited GIRLFRIEND / may in film / マイナーガール / HOTALOOP

ライブ 18:30~18:55
特典会 19:00~20:00

■チケット販売サイト
https://t-dv.com/idolwakukun217osanpo
※チケット発売：1/30(金)22:00先着",CONFIRMED,,20260130T102240Z
7vq79olojgs7bbrl0tltjjhkjs@google.com,2026-02-21,2026-02-21,yes,DESEO mini with VILLAGE VANGUARD,16:00,16:30,17:55,18:20,18:55,19:55,【イベント】『COLORLiNIX vol.III』,,"2月21日(土)@ SHIBUYA DESEO / DESEO mini
『COLORLiNIX vol.III』
開場 16:00/ 開演 16:30
チケット 前売3,500円 当日 4,000円(各+1D)
出演 アストレイル / 丑03-USHIMITSU- / オブセス / KAMAITACI / CoTei / zanka / XINXIN / Drawry. / 9DayzGlitchClubTokyo / PASTEL RADIO / HATENO / FOKALITE / may in film / RePLAY / √REAL-ルートリアル- / lonlum
※再入場可(追加ドリンク代なし)

ライブ 17:55~18:20(DESEO mini)
特典会 18:55~19:55(並行特典会D)

■チケット販売サイト
 https://livepocket.jp/e/colorlinix_t
※チケット発売：1/28(水)19:00先着",CONFIRMED,,20260214T152625Z
4bjv4t01k1jc9n1umc7862i1bv@google.com,2026-02-22,2026-02-22,yes,池袋リヴォイス,10:40,11:00,13:10,13:35,13:40,14:40,【イベント】『ラジオ大阪Presents GIRLS CIRCUIT LIVE』,,"2月22日(日)@ 池袋リヴォイス
『ラジオ大阪Presents GIRLS CIRCUIT LIVE』
開場 10:40/ 開演 11:00
チケット 前売3,000円 当日 3,500円(各+1D)
出演
IWI! / ideal peco / Amairo-Flip / INSRiA / éclatcia / 上月せれ
な / さくら色のカレンダー / 純情のアフィリア / DA･BAMBI /
Chuu♡Cute / トウトイナ。 / Drawry. / 撫子の音返し / Honey
Devil / Brave Mental Orchestra / べるべっとセンテンス / ポラ
リスマイル / むーぷり / 闇雲 / Like Skip / LarmeR / リルリボ
ン / わんだふるぱれーど！

ライブ 13:10~13:35
特典会 13:40~14:40(並行物販A)

■チケット販売サイト
https://livepocket.jp/e/circuit_20260222
※チケット発売：1/30(金)12:00先着",CONFIRMED,,20260219T034609Z
1dk8k2t5tdo3ue83f1qtj22r5i@google.com,2026-02-23,2026-02-23,yes,SHIBUYA DESEO,11:20,11:50,,,,,【イベント】Drawry.主催イベント「build a family vol.2」,,"2月23日(月・祝)@ SHIBUYA DESEO
Drawry.主催イベント「build a family vol.2」
開場 11:20/ 開演 11:50
チケット 前売2,000円 当日 2,500円(各+1D)
出演 Drawry. / iRiNE / YOTAKA

■チケット販売サイト
https://livepocket.jp/e/build_a_family2
※チケット発売：1/4(日)21:00先着",CONFIRMED,,20260103T100340Z
6t9cq53bvls8d2a6ppfodoq9bm@google.com,2026-02-23,2026-02-23,yes,,,,,,,,会場限定1st EP「First Lines」リリース,,"《収録曲順》
1.Dear,History
2.Blooming(New vocal recording ver.)
3.ラブストーリーが始まらない(Drums recording ver.)
4.Moving Lights!
5.ルミナス(New vocal recording ver.)
6.朝焼けと車窓
7.プライマリ",CONFIRMED,,20260404T232509Z
1cflsrrfv6fusn4986kaa2jrbe@google.com,2026-02-28,2026-02-28,yes,大塚Hearts+,11:00,11:25,11:35,12:00,12:20,13:20,【イベント】RAY presents「GOO!」supported by YOIMACHI,,"2月28日(土)@ 大塚Heats+、Hearts Next、eightdays dining（カフェステージ）、ドリームシアター（物販会場）※複数会場往来自由
RAY presents「GOO!」supported by YOIMACHI
開場 11:00 / 開演 11:25
チケット 前売 通常チケット¥4300、Tシャツ付チケット¥7300 (各1Drink¥600別)

出演 RAY、月刊PAM、ピューパ!!、グデイ、ponderosa may bloom、Drawry.、YOTAKA、ねおち、cleomery(大阪)、anew(山形)、会心ノ一撃、nicora ray ark、0番線と夜明け前(京都)、i_andscape.(仙台)、BELLRING少女ハート、AQ(京都)、airattic、さくまる。(静岡)、校庭カメラガールフィーア、惑星通信社、ネムレス(大阪)、may in film、雨模様のソラリス、YA'ABURNEE、FOKALITE

ライブ 11:35~12:00(大塚Heats+)
特典会  12:20~13:20(ドリームシアターB)
小宵めみ 14:00~14:25(弾き語り)
小宵めみ特典会 14:40~15:40(ドリームシアターB)

■チケット販売サイト
https://livepocket.jp/e/0228goo
※チケット発売：12/12(金)22:00先着",CONFIRMED,,20260220T104930Z
3ij1o7uapnm76jqf3l7vmekr93@google.com,2026-03-01,2026-03-01,yes,四谷LOTUS,16:45,17:00,17:50,18:15,19:00,20:00,【イベント】INFINITY LIVE presents『Princeism』,,"3月1日(日)@ 四谷LOTUS
INFINITY LIVE presents『Princeism』
開場 16:45/ 開演 17:00
チケット 一般 ¥2500 / 優先入場 ¥3100 / 当日券 ¥3100
出演 YUGUREMI / Drawry. / Layn / 棘-おどろ- / i_andscape. / KIRA:MINA / キキレイレイ / ROY Limited GIRLFRIEND / YOUR ADVISORY BOARD

ライブ 17:50~18:15
特典会 19:00~20:00(並行物販)

■チケット販売サイト
 https://t-dv.com/20260301_night
※チケット発売：2/19(木)22:30先着",CONFIRMED,,20260218T114319Z
2sjvs9au52i5810pfis7rsca6k@google.com,2026-03-02,2026-03-02,yes,渋谷近未来会館,19:00,19:20,19:50,20:20,21:20,22:30,【イベント】#ﾆｷﾌﾟﾚ『シキサイ。』,,"3月2日(月)@ 渋谷近未来会館
#ﾆｷﾌﾟﾚ『シキサイ。』
開場 19:00/ 開演 19:20
チケット 前売2,800円 当日 3,300円(各+1D)
出演 Drawry. / iRiNE / YOTAKA / ニコルポップ

ライブ 19:50~20:20
特典会 21:20~22:30

■チケット販売サイト
https://livepocket.jp/e/20260302_nikipre
※チケット発売：2/11(水)22:00先着",CONFIRMED,,20260212T031711Z
7brqedd9v9c5gjgget34h991ch@google.com,2026-03-07,2026-03-07,yes,渋谷CLUB CRAWL,11:00,11:15,12:50,13:15,13:20,14:20,【イベント】INFINITY LIVE presents『CRAWLCRAW』,,"3月7日(土)@ 渋谷CLUB CRAWL
INFINITY LIVE presents『CRAWLCRAW』
開場 11:00/ 開演 11:15
チケット 一般 ¥2500 / 優先入場 ¥3100 / 当日券 ¥3100
出演 YOTAKA / Drawry. / CUBΣLIC / 8°世界が変われば、 / キュニコ / 猫の眼に宇宙

ライブ 12:50~13:15
特典会 13:20~14:20
※ライブ時間が5分早まっておりますので、お間違えがないようにお願いいたします。

■チケット販売サイト 
https://t-dv.com/20260307_day
※チケット発売：2/21(土)22:00先着",CONFIRMED,,20260301T081557Z
45t9d4mp7u13948oe348kphgh1@google.com,2026-03-08,2026-03-08,yes,新宿MARZ,14:40,15:00,15:00,15:30,17:00,18:10,【イベント】INFINITY LIVE presents『FIRST LIGHT - TRINITY RISE - 』,,"3月8日(日)@ 新宿MARZ
INFINITY LIVE presents『FIRST LIGHT - TRINITY RISE - 』
開場 14:40/ 開演 15:00
チケット 優先入場 ¥3,200 / 前売券 ¥2,600 / 当日券 ¥3,200
出演 Untitled / 棘-おどろ- / Drawry. / LUCY

ライブ 15:00~15:30
特典会 17:00~18:10

■チケット販売サイト
 https://t-dv.com/20260308_evening
※チケット発売：2/25(水)20:30先着",CONFIRMED,,20260224T130935Z
50ocbmh00le33kivnrcs75i7vj@google.com,2026-03-09,2026-03-09,yes,,,,,,,,【個人配信】雪城とうか,,"20時にスペースにて配信を行います。

#0328Drawry1stONEMANあるよ",CONFIRMED,,20260404T232509Z
59tdldskrp5gmf77h9vo8efu7m@google.com,2026-03-10,2026-03-10,yes,渋谷近未来会館,18:40,19:00,,,,,【イベント】#ﾆｷﾌﾟﾚ『シキサイ。』,,"3月10日(火)@ 渋谷近未来会館
#ﾆｷﾌﾟﾚ『シキサイ。』
開場 18:40/ 開演 19:00
チケット 前売2,800円 当日 3,300円(各+1D)
出演 cowolo / Drawry. / may in film / NUANCE

■チケット販売サイト
 https://livepocket.jp/e/20260310_nikipre
※チケット発売：2/13(金)22:00先着",CONFIRMED,,20260212T130116Z
7lvnkgvrqeql7ecetbomhamt9p@google.com,2026-03-12,2026-03-12,yes,,,,,,,,【個人配信】都月ゆめ,,"22時にスペースにて配信を行います。

#0328Drawry1stONEMANあるよ",CONFIRMED,,20260404T232509Z
